方案,指标,触发,玩法,触发数,止盈率,止损率,中间率,达止盈期中位,总净,ROI
小六壬,big_small,高命,gaobei,56,34%,18%,48%,112,263,2.35%
小六壬,big_small,高命,netdisk,56,18%,16%,66%,161,128,1.14%
小六壬,big_small,高命,2.0,56,18%,16%,66%,161,108,0.97%
小六壬,big_small,低命,gaobei,17,29%,18%,53%,172,62,1.82%
小六壬,big_small,低命,netdisk,17,18%,18%,64%,155,22,0.64%
小六壬,big_small,低命,2.0,17,18%,18%,64%,155,16,0.48%
小六壬,combo,高命,gaobei,39,64%,28%,8%,63,307,3.93%
小六壬,combo,高命,netdisk,39,95%,5%,0%,50,756,9.69%
小六壬,combo,高命,2.0,39,23%,59%,18%,80,-318,-4.07%
小六壬,combo,低命,gaobei,35,60%,37%,3%,47,187,2.68%
小六壬,combo,低命,netdisk,35,89%,9%,2%,51,602,8.60%
小六壬,combo,低命,2.0,35,31%,66%,3%,60,-237,-3.39%
追长龙,big_small,高命,gaobei,15,7%,20%,73%,72,-34,-1.14%
追长龙,big_small,高命,netdisk,15,0%,27%,73%,0,-73,-2.42%
追长龙,big_small,高命,2.0,15,0%,27%,73%,0,-78,-2.60%
追长龙,big_small,低命,gaobei,9,33%,11%,56%,117,68,3.77%
追长龙,big_small,低命,netdisk,9,0%,0%,100%,0,26,1.45%
追长龙,big_small,低命,2.0,9,0%,0%,100%,0,23,1.26%
追长龙,combo,高命,gaobei,14,86%,14%,0%,70,218,7.80%
追长龙,combo,高命,netdisk,14,100%,0%,0%,41,305,10.89%
追长龙,combo,高命,2.0,14,29%,50%,21%,63,-89,-3.18%
追长龙,combo,低命,gaobei,12,58%,25%,17%,117,80,3.32%
追长龙,combo,低命,netdisk,12,83%,8%,9%,42,187,7.78%
追长龙,combo,低命,2.0,12,17%,75%,8%,132,-162,-6.73%
找平衡,big_small,高命,gaobei,18,28%,6%,66%,176,131,3.63%
找平衡,big_small,高命,netdisk,18,0%,0%,100%,0,66,1.84%
找平衡,big_small,高命,2.0,18,0%,0%,100%,0,59,1.65%
找平衡,big_small,低命,gaobei,11,18%,18%,64%,115,-15,-0.70%
找平衡,big_small,低命,netdisk,11,0%,0%,100%,0,26,1.17%
找平衡,big_small,低命,2.0,11,0%,0%,100%,0,21,0.97%
找平衡,combo,高命,gaobei,32,47%,50%,3%,75,3,0.05%
找平衡,combo,高命,netdisk,32,94%,6%,0%,52,616,9.62%
找平衡,combo,高命,2.0,32,22%,78%,0%,112,-365,-5.70%
找平衡,combo,低命,gaobei,16,62%,31%,7%,68,123,3.84%
找平衡,combo,低命,netdisk,16,94%,6%,0%,41,306,9.55%
找平衡,combo,低命,2.0,16,12%,56%,32%,69,-163,-5.09%
频次趋势V1,big_small,高命,gaobei,37,16%,22%,62%,110,-59,-0.80%
频次趋势V1,big_small,高命,netdisk,37,11%,14%,75%,157,79,1.07%
频次趋势V1,big_small,高命,2.0,37,11%,14%,75%,157,64,0.86%
频次趋势V1,big_small,低命,gaobei,20,25%,20%,55%,126,48,1.20%
频次趋势V1,big_small,低命,netdisk,20,10%,25%,65%,163,-58,-1.44%
频次趋势V1,big_small,低命,2.0,20,10%,25%,65%,163,-66,-1.64%
频次趋势V1,combo,高命,gaobei,36,33%,53%,14%,68,-161,-2.24%
频次趋势V1,combo,高命,netdisk,36,97%,3%,0%,61,733,10.18%
频次趋势V1,combo,高命,2.0,36,0%,89%,11%,0,-683,-9.49%
频次趋势V1,combo,低命,gaobei,31,52%,48%,0%,73,52,0.84%
频次趋势V1,combo,低命,netdisk,31,87%,13%,0%,49,500,8.06%
频次趋势V1,combo,低命,2.0,31,23%,71%,6%,36,-336,-5.42%
组合马尔可夫V1,big_small,高命,gaobei,37,24%,30%,46%,156,-9,-0.13%
组合马尔可夫V1,big_small,高命,netdisk,37,11%,22%,67%,193,-43,-0.58%
组合马尔可夫V1,big_small,高命,2.0,37,11%,22%,67%,193,-58,-0.78%
组合马尔可夫V1,big_small,低命,gaobei,21,33%,0%,67%,129,213,5.07%
组合马尔可夫V1,big_small,低命,netdisk,21,5%,5%,90%,167,75,1.78%
组合马尔可夫V1,big_small,低命,2.0,21,5%,5%,90%,167,67,1.59%
组合马尔可夫V1,combo,高命,gaobei,41,39%,56%,5%,82,-112,-1.37%
组合马尔可夫V1,combo,高命,netdisk,41,95%,2%,3%,64,831,10.14%
组合马尔可夫V1,combo,高命,2.0,41,15%,78%,7%,29,-524,-6.39%
组合马尔可夫V1,combo,低命,gaobei,41,66%,27%,7%,58,373,4.55%
组合马尔可夫V1,combo,低命,netdisk,41,95%,5%,0%,60,805,9.82%
组合马尔可夫V1,combo,低命,2.0,41,27%,56%,17%,53,-203,-2.48%
遗漏回补V1,big_small,高命,gaobei,43,21%,16%,63%,148,9,0.11%
遗漏回补V1,big_small,高命,netdisk,43,9%,14%,77%,135,-102,-1.18%
遗漏回补V1,big_small,高命,2.0,43,9%,14%,77%,135,-116,-1.35%
遗漏回补V1,big_small,低命,gaobei,17,12%,41%,47%,175,-158,-4.65%
遗漏回补V1,big_small,低命,netdisk,17,6%,29%,65%,185,-144,-4.24%
遗漏回补V1,big_small,低命,2.0,17,6%,29%,65%,185,-150,-4.41%
遗漏回补V1,combo,高命,gaobei,27,52%,48%,0%,87,45,0.83%
遗漏回补V1,combo,高命,netdisk,27,85%,11%,4%,40,446,8.26%
遗漏回补V1,combo,高命,2.0,27,7%,74%,19%,45,-368,-6.82%
遗漏回补V1,combo,低命,gaobei,32,47%,44%,9%,56,49,0.76%
遗漏回补V1,combo,低命,netdisk,32,88%,6%,6%,54,553,8.64%
遗漏回补V1,combo,低命,2.0,32,16%,75%,9%,75,-407,-6.35%
